GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gypsogest,com.filrouge.gypsogest.domain.enumeration,PaymentType,33,0,0,0,6,0,1,0,1,0
gypsogest,com.filrouge.gypsogest.domain.enumeration,GypseType,33,0,0,0,6,0,1,0,1,0
gypsogest,com.filrouge.gypsogest.domain,Sale,60,0,0,0,9,0,11,0,11,0
gypsogest,com.filrouge.gypsogest.domain,Item.ItemBuilder,56,0,0,0,1,0,8,0,8,0
gypsogest,com.filrouge.gypsogest.domain,Client,90,0,0,0,12,0,15,0,15,0
gypsogest,com.filrouge.gypsogest.domain,Transaction.TransactionBuilder,66,0,0,0,1,0,9,0,9,0
gypsogest,com.filrouge.gypsogest.domain,Item,60,0,0,0,9,0,13,0,13,0
gypsogest,com.filrouge.gypsogest.domain,Client.ClientBuilder,65,0,0,0,1,0,9,0,9,0
gypsogest,com.filrouge.gypsogest.domain,Returned.ReturnedBuilder,37,0,0,0,1,0,6,0,6,0
gypsogest,com.filrouge.gypsogest.domain,Sale.SaleBuilder,48,0,0,0,1,0,7,0,7,0
gypsogest,com.filrouge.gypsogest.domain,Transaction,70,0,0,0,10,0,15,0,15,0
gypsogest,com.filrouge.gypsogest.domain,Returned,40,0,0,0,7,0,9,0,9,0
gypsogest,com.filrouge.gypsogest.domain,AppUser.AppUserBuilder,72,0,0,0,1,0,10,0,10,0
gypsogest,com.filrouge.gypsogest.domain,AppUser,86,0,0,0,11,0,17,0,17,0
gypsogest,com.filrouge.gypsogest,GypsoGestApplication,8,0,0,0,3,0,2,0,2,0
